NUM_PLAYERS,ROUND_NUM,CLASS,,NP / RN,NP / MAX_S,E > F,TEST,PROB,NUM_TABLES,NUM_MAX_TABLES,NUM_MIN_TABLES,MAX_SEATS_PER_TABLE,MIN_SEATS_PER_TABLE
41,4,SOME_CONVERGED,FALSE,10.25,10.25,FALSE,TRUE,0.1,11,8,3,4,3
42,4,SOME_CONVERGED,FALSE,10.5,10.5,FALSE,TRUE,0.1,11,9,2,4,3
43,4,SOME_CONVERGED,FALSE,10.75,10.75,FALSE,TRUE,0.35,11,10,1,4,3
44,4,SOME_CONVERGED,FALSE,11,11,FALSE,TRUE,0.5,11,11,0,4,3
45,4,SOME_CONVERGED,FALSE,11.25,11.25,FALSE,TRUE,0.1,12,9,3,4,3
46,4,SOME_CONVERGED,FALSE,11.5,11.5,FALSE,TRUE,0.35,12,10,2,4,3
47,4,SOME_CONVERGED,FALSE,11.75,11.75,FALSE,TRUE,0.45,12,11,1,4,3
48,4,SOME_CONVERGED,FALSE,12,12,FALSE,TRUE,0.55,12,12,0,4,3
50,4,SOME_CONVERGED,FALSE,12.5,12.5,FALSE,TRUE,0.55,13,11,2,4,3
51,4,SOME_CONVERGED,FALSE,12.75,12.75,FALSE,TRUE,0.65,13,12,1,4,3
51,5,SOME_CONVERGED,FALSE,10.2,12.75,FALSE,TRUE,0.05,13,12,1,4,3
52,4,SOME_CONVERGED,FALSE,13,13,FALSE,TRUE,0.75,13,13,0,4,3
53,4,SOME_CONVERGED,FALSE,13.25,13.25,FALSE,TRUE,0.45,14,11,3,4,3
54,4,SOME_CONVERGED,FALSE,13.5,13.5,FALSE,TRUE,0.65,14,12,2,4,3
55,4,SOME_CONVERGED,FALSE,13.75,13.75,FALSE,TRUE,0.7,14,13,1,4,3
56,4,SOME_CONVERGED,FALSE,14,14,FALSE,TRUE,0.85,14,14,0,4,3
56,5,SOME_CONVERGED,FALSE,11.2,14,FALSE,TRUE,0.05,14,14,0,4,3
57,4,SOME_CONVERGED,FALSE,14.25,14.25,FALSE,TRUE,0.45,15,12,3,4,3
58,4,SOME_CONVERGED,FALSE,14.5,14.5,FALSE,TRUE,0.7,15,13,2,4,3
59,4,SOME_CONVERGED,FALSE,14.75,14.75,FALSE,TRUE,0.8,15,14,1,4,3
59,5,SOME_CONVERGED,FALSE,11.8,14.75,FALSE,TRUE,0.05,15,14,1,4,3
60,4,SOME_CONVERGED,FALSE,15,15,FALSE,TRUE,0.8,15,15,0,4,3
61,4,SOME_CONVERGED,FALSE,15.25,15.25,FALSE,TRUE,0.3,16,13,3,4,3
62,4,SOME_CONVERGED,FALSE,15.5,15.5,FALSE,TRUE,0.75,16,14,2,4,3
63,4,SOME_CONVERGED,FALSE,15.75,15.75,FALSE,TRUE,0.75,16,15,1,4,3
